Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel alto azufre,Total
oct-06,"238,514.63","203,061.39","400,793.81","683,543.13","2,140,212.77"
nov-06,"228,417.44","205,541.91","401,922.57","739,181.99","2,316,578.36"
dic-06,"236,333.11","233,936.83","454,373.13","776,330.26","2,320,872.16"
ene-07,"217,344.66","216,560.79","418,412.86","810,372.66","2,412,689.72"
feb-07,"211,149.36","204,991.91","401,425.14","799,394.60","2,270,426.73"
mar-07,"264,115.98","239,019.91","454,731.09","956,680.19","2,721,845.44"
abr-07,"224,818.88","217,536.23","403,732.56","758,988.58","2,316,561.70"
may-07,"259,749.48","224,400.73","426,414.71","811,703.69","2,576,625.62"
jun-07,"244,505.28","217,473.91","390,991.36","720,896.77","2,447,015.92"
jul-07,"261,555.62","219,874.23","416,497.41","721,550.61","2,577,074.08"
ago-07,"267,634.12","236,565.57","411,088.53","736,620.90","2,434,753.09"
sep-07,"254,081.76","207,241.84","390,568.99","669,587.88","2,123,747.69"
oct-07,"264,936.66","224,750.77","419,001.81","738,702.86","2,249,550.18"
nov-07,"250,108.61","218,116.79","417,490.77","779,547.05","2,407,384.11"
dic-07,"253,659.53","252,394.11","438,542.79","768,886.87","2,406,425.50"
ene-08,"252,508.33","213,645.39","403,266.74","797,668.91","2,349,515.29"
feb-08,"241,978.08","215,873.67","407,735.55","794,000.25","2,283,261.26"
mar-08,"247,679.04","233,761.07","424,157.28","776,026.79","2,329,780.09"
abr-08,"243,178.03","233,687.28","399,193.53","807,725.77","2,435,992.91"
may-08,"240,798.46","236,635.85","390,882.63","682,326.18","2,440,586.60"
jun-08,"242,422.57","200,656.57","337,464.32","507,662.65","2,003,659.37"
jul-08,"243,531.97","228,640.21","374,847.05","544,399.26","1,953,500.22"
ago-08,"237,062.52","227,499.00","378,363.76","556,174.40","1,902,120.35"
sep-08,"225,262.46","218,214.64","367,962.73","557,802.62","1,877,361.94"
oct-08,"263,100.50","238,955.44","386,430.40","617,863.13","1,995,693.56"
nov-08,"230,092.62","238,626.16","375,438.69","688,104.11","2,062,143.01"
dic-08,"245,852.65","298,245.47","463,343.73","778,953.84","2,256,177.43"
ene-09,"217,372.42","273,494.16","424,264.50","800,526.47","2,395,729.87"
feb-09,"212,038.24","254,667.70","424,438.71","795,050.51","2,306,316.41"
mar-09,"235,475.32","290,343.28","434,248.69","865,981.57","2,507,628.92"
abr-09,"209,739.17","290,887.08","454,265.40","822,109.74","2,673,544.22"
